,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Duty
4623,35.0,67.0,59.0,37.0,47.0,40.0,37.0,50.0,43.0,66.0,68.0,45.0,63.0,41.0,43.0,60.0,55.0,88.0,39.0,78.0,68.0,32.0,39.0,59.0,59.0,70.0,74.0,69.0,9.0,8.0,5.0,8.0,11.0,1
4624,67.0,60.0,72.0,60.0,69.0,72.0,70.0,73.0,73.0,47.0,42.0,62.0,72.0,63.0,69.0,60.0,68.0,67.0,69.0,58.0,57.0,73.0,73.0,70.0,70.0,56.0,55.0,50.0,12.0,16.0,10.0,15.0,8.0,2
4625,27.0,66.0,69.0,60.0,51.0,36.0,32.0,66.0,55.0,70.0,69.0,58.0,65.0,64.0,69.0,78.0,77.0,78.0,61.0,59.0,70.0,32.0,67.0,42.0,60.0,68.0,76.0,69.0,6.0,6.0,13.0,9.0,12.0,1
4626,35.0,75.0,66.0,33.0,55.0,28.0,20.0,54.0,60.0,64.0,67.0,62.0,68.0,59.0,49.0,75.0,60.0,78.0,21.0,72.0,70.0,28.0,36.0,43.0,64.0,68.0,70.0,69.0,13.0,15.0,13.0,5.0,6.0,1
4627,56.0,61.0,69.0,34.0,58.0,46.0,41.0,66.0,70.0,49.0,29.0,64.0,67.0,58.0,71.0,70.0,73.0,81.0,65.0,77.0,74.0,51.0,66.0,51.0,80.0,67.0,69.0,59.0,6.0,6.0,9.0,12.0,11.0,2
4628,26.0,77.0,59.0,24.0,38.0,28.0,36.0,51.0,61.0,39.0,36.0,49.0,68.0,44.0,35.0,56.0,51.0,81.0,32.0,72.0,73.0,32.0,45.0,33.0,66.0,70.0,71.0,62.0,10.0,6.0,6.0,13.0,13.0,1
4629,35.0,56.0,74.0,39.0,54.0,48.0,49.0,58.0,60.0,60.0,61.0,54.0,75.0,61.0,73.0,70.0,72.0,74.0,67.0,87.0,77.0,37.0,42.0,49.0,59.0,70.0,75.0,68.0,8.0,12.0,8.0,15.0,10.0,2
4630,52.0,52.0,71.0,63.0,71.0,72.0,62.0,69.0,70.0,84.0,83.0,82.0,68.0,80.0,87.0,76.0,80.0,69.0,73.0,70.0,68.0,68.0,62.0,66.0,72.0,58.0,69.0,68.0,7.0,11.0,15.0,7.0,6.0,1
4631,54.0,60.0,72.0,63.0,64.0,68.0,65.0,71.0,71.0,57.0,54.0,69.0,69.0,67.0,73.0,58.0,78.0,63.0,68.0,66.0,71.0,68.0,72.0,58.0,73.0,66.0,64.0,63.0,13.0,14.0,14.0,16.0,8.0,2
4632,64.0,54.0,65.0,66.0,75.0,62.0,50.0,58.0,76.0,88.0,89.0,87.0,61.0,88.0,66.0,72.0,68.0,54.0,65.0,47.0,34.0,64.0,55.0,65.0,72.0,53.0,37.0,42.0,13.0,14.0,9.0,8.0,14.0,2
4633,42.0,70.0,69.0,36.0,58.0,36.0,37.0,71.0,70.0,68.0,66.0,73.0,73.0,64.0,64.0,78.0,85.0,75.0,58.0,81.0,66.0,60.0,58.0,43.0,57.0,73.0,69.0,57.0,11.0,11.0,9.0,6.0,14.0,2
4634,46.0,75.0,69.0,42.0,43.0,43.0,68.0,63.0,76.0,76.0,59.0,60.0,71.0,75.0,65.0,69.0,76.0,60.0,64.0,72.0,62.0,51.0,45.0,63.0,68.0,72.0,63.0,76.0,7.0,8.0,10.0,12.0,7.0,1
4635,45.0,66.0,72.0,51.0,61.0,53.0,45.0,71.0,67.0,67.0,73.0,71.0,67.0,57.0,48.0,51.0,73.0,77.0,46.0,65.0,66.0,59.0,51.0,61.0,63.0,71.0,73.0,72.0,8.0,8.0,7.0,12.0,8.0,1
